timestamp,angle_real_hitch,error_hitch,angle_real_beta,error_beta,angle_calculated
0.857,-1.27,1.59,-1.27,1.59,0.32
0.863,-1.27,1.59,-1.27,1.59,0.32
0.865,-1.27,1.59,-1.27,1.59,0.32
0.889,-1.27,1.59,-1.27,1.59,0.32
0.914,-1.27,1.59,-1.27,1.59,0.32
0.916,-1.27,1.59,-1.27,1.59,0.32
0.926,-1.27,1.60,-1.27,1.60,0.33
0.962,-1.27,1.59,-1.27,1.59,0.32
0.965,-1.27,1.59,-1.27,1.59,0.32
0.968,-1.27,1.59,-1.27,1.59,0.32
0.994,-1.27,1.64,-1.27,1.64,0.37
1.015,-1.27,1.64,-1.27,1.64,0.37
1.020,-1.27,1.64,-1.27,1.64,0.37
1.030,-1.27,1.61,-1.27,1.61,0.34
1.062,-1.27,1.60,-1.27,1.60,0.33
1.066,-1.27,1.60,-1.27,1.60,0.33
1.069,-1.27,1.60,-1.27,1.60,0.33
1.096,-1.27,1.58,-1.27,1.58,0.31
1.118,-1.27,1.58,-1.27,1.58,0.31
1.123,-1.27,1.58,-1.27,1.58,0.31
1.133,-1.27,1.62,-1.27,1.62,0.35
1.164,-1.27,1.58,-1.27,1.58,0.31
1.169,-1.27,1.58,-1.27,1.58,0.31
1.173,-1.27,1.58,-1.27,1.58,0.31
1.201,-1.27,1.60,-1.27,1.60,0.33
1.219,-1.27,1.60,-1.27,1.60,0.33
1.223,-1.27,1.60,-1.27,1.60,0.33
1.238,-1.27,1.58,-1.27,1.58,0.31
1.268,-1.27,1.56,-1.27,1.56,0.29
1.272,-1.27,1.56,-1.27,1.56,0.29
1.276,-1.27,1.56,-1.27,1.56,0.29
1.304,-1.27,1.60,-1.27,1.60,0.33
1.321,-1.27,1.60,-1.27,1.60,0.33
1.325,-1.27,1.60,-1.27,1.60,0.33
1.336,-1.27,1.60,-1.27,1.60,0.33
1.371,-1.27,1.60,-1.27,1.60,0.33
1.375,-1.27,1.60,-1.27,1.60,0.33
1.379,-1.27,1.62,-1.27,1.62,0.35
1.408,-1.27,1.61,-1.27,1.61,0.34
1.421,-1.27,1.61,-1.27,1.61,0.34
1.425,-1.27,1.61,-1.27,1.61,0.34
1.440,-1.27,1.59,-1.27,1.59,0.32
1.472,-1.27,1.59,-1.27,1.59,0.32
1.476,-1.27,1.59,-1.27,1.59,0.32
1.479,-1.27,1.59,-1.27,1.59,0.32
1.513,-1.27,1.59,-1.27,1.59,0.32
1.525,-1.27,1.59,-1.27,1.59,0.32
1.529,-1.27,1.59,-1.27,1.59,0.32
1.546,-1.27,1.56,-1.27,1.56,0.29
1.574,-1.27,1.56,-1.27,1.56,0.29
1.578,-1.27,1.56,-1.27,1.56,0.29
1.582,-1.27,1.61,-1.27,1.61,0.34
1.613,-1.27,1.64,-1.27,1.64,0.37
1.625,-1.27,1.64,-1.27,1.64,0.37
1.629,-1.27,1.64,-1.27,1.64,0.37
1.648,-1.27,1.59,-1.27,1.59,0.32
1.676,-1.27,1.59,-1.27,1.59,0.32
1.680,-1.27,1.59,-1.27,1.59,0.32
1.684,-1.27,1.60,-1.27,1.60,0.33
1.716,-1.27,1.60,-1.27,1.60,0.33
1.726,-1.27,1.60,-1.27,1.60,0.33
1.731,-1.27,1.60,-1.27,1.60,0.33
1.753,-1.27,1.62,-1.27,1.62,0.35
1.777,-1.27,1.62,-1.27,1.62,0.35
1.780,-1.27,1.62,-1.27,1.62,0.35
1.791,-1.27,1.60,-1.27,1.60,0.33
1.820,-1.27,1.60,-1.27,1.60,0.33
1.827,-1.27,1.60,-1.27,1.60,0.33
